Region,StockPop,run,HatcheryWild,SmoltOutmigYr,SAR
Puget Sound,Skagit R. winter,winter,hatchery,1982,0.024681606
Puget Sound,Skagit R. winter,winter,hatchery,1983,0.036218249
Puget Sound,Skagit R. winter,winter,hatchery,1984,0.020336152
Puget Sound,Skagit R. winter,winter,hatchery,1985,0.018860521
Puget Sound,Skagit R. winter,winter,hatchery,1986,0.025446026
Puget Sound,Skagit R. winter,winter,hatchery,1987,0.036665295
Puget Sound,Skagit R. winter,winter,hatchery,1988,0.020081248
Puget Sound,Skagit R. winter,winter,hatchery,1989,0.007537487
Puget Sound,Skagit R. winter,winter,hatchery,1990,0.016906924
Puget Sound,Skagit R. winter,winter,hatchery,1991,0.01408272
Puget Sound,Skagit R. winter,winter,hatchery,1992,0.005490697
Puget Sound,Skagit R. winter,winter,hatchery,1993,0.005953298
Puget Sound,Skagit R. winter,winter,hatchery,1994,0.005349447
Puget Sound,Skagit R. winter,winter,hatchery,1995,0.005491862
Puget Sound,Skagit R. winter,winter,hatchery,1996,0.002251548
Puget Sound,Skagit R. winter,winter,hatchery,1997,0.002884038
Puget Sound,Skagit R. winter,winter,hatchery,1998,0.00130133
Puget Sound,Skagit R. winter,winter,hatchery,1999,0.004322483
Puget Sound,Skagit R. winter,winter,hatchery,2000,0.007496323
Puget Sound,Skagit R. winter,winter,hatchery,2001,0.001305399
Puget Sound,Skagit R. winter,winter,hatchery,2002,0.003069375
Puget Sound,Skagit R. winter,winter,hatchery,2003,0.003041496
Puget Sound,Skagit R. winter,winter,hatchery,2004,0.002189419
Puget Sound,Skagit R. winter,winter,hatchery,2005,0.005183437
Puget Sound,Skagit R. winter,winter,hatchery,2006,0.003801534
Puget Sound,Skagit R. winter,winter,hatchery,2007,0.001371985
Puget Sound,Skagit R. winter,winter,hatchery,2008,0.003753055
Puget Sound,Skagit R. winter,winter,hatchery,2009,0.006577208
Puget Sound,Skagit R. winter,winter,hatchery,2010,0.00714721
Puget Sound,Skagit R. winter,winter,hatchery,2011,0.00345
Puget Sound,Skagit R. winter,winter,hatchery,2012,0.001667773
